Population,Std_A1,Std_A2,Std_A3,Std_A4,Std_A5,Std_A6,Mean_A1,Mean_A2,Mean_A3,Mean_A4,Mean_A5,Mean_A6,meanAbDev_A1,meanAbDev_A2,meanAbDev_A3,meanAbDev_A4,meanAbDev_A5,meanAbDev_A6,meadAbDev_A1,meadAbDev_A2,meadAbDev_A3,meadAbDev_A4,meadAbDev_A5,meadAbDev_A6,mead_A1,mead_A2,mead_A3,mead_A4,mead_A5,mead_A6,var_A1,var_A2,var_A3,var_A4,var_A5,var_A6
Empty,0.9418887364,1.9392863064,1.9884103933,2.5285977179,3.5350639062,4.2598579463,10.3265845152,21.2320260802,21.7410691426,27.5230639588,38.2893110736,46.0909437063,0.8171002624,1.6841013732,1.7285903167,2.2141456217,3.1125435204,3.7558460904,0.2552783974,0.4722804623,0.4440617535,0.4086393863,0.3147480089,0.2781459089,10.8550817467,22.3412445465,22.8939590106,29.0889238846,40.6264528661,48.9883477101,0.8871543919,3.7608313783,3.9537758923,6.3938064191,12.4966768206,18.1463897223
Empty,0.8835887088,1.9716724443,2.1105809207,2.3321359621,3.0330694592,3.5629820908,10.5251287424,21.9407801223,22.7394764703,28.4632684641,39.4058884646,47.2690414687,0.6483737303,1.4660622567,1.598580633,1.7681115167,2.5160298536,3.055636785,0.5467602604,1.1623776674,1.2246485148,1.4586887805,1.9997728064,1.9433262244,10.5668342389,21.8570148112,22.6109137477,28.6967928622,40.3250978003,48.722144485,0.7807290062,3.8874922275,4.4545518229,5.4388581459,9.1995103445,12.6948413794
One,0.257926967,0.7204149638,1.0447313829,1.3090193958,1.3131536319,1.0680926244,3.4196561747,9.5509875932,13.8729304638,17.2507696956,17.2290644962,14.0888710066,0.1809134243,0.5016060206,0.7262706636,0.9109463578,0.912258166,0.7426092958,0.0233060474,0.049494691,0.0663852907,0.0629078015,0.0685268657,0.0539059073,3.4570995046,9.6500862851,14.0210864611,17.4383440859,17.4130906373,14.241103127,0.0665263203,0.5189977201,1.0914636625,1.7135317786,1.724372461,1.1408218542
One,0.241121586,0.6773913333,0.9814250772,1.2188344516,1.2189004205,0.9933694466,3.3925339517,9.5121510793,13.8366737199,17.201434357,17.1876503813,14.0506193223,0.1583568889,0.4452162226,0.6457591499,0.8017492627,0.8009124533,0.6520601567,0.0164098396,0.0444130428,0.0563808753,0.0687500451,0.0748899809,0.0538694923,3.4243837011,9.6030136887,13.974611155,17.3684960109,17.3582644334,14.1901147667,0.0581396192,0.4588590184,0.9631951822,1.4855574203,1.4857182351,0.9867828574
One,0.2385973159,0.6676458606,0.9642397848,1.1954037502,1.1929810801,0.973992328,3.404484475,9.5150473442,13.7607763262,17.0524018748,17.0319049446,13.9094843243,0.1664091788,0.4663916268,0.6735308679,0.8359821805,0.8356006975,0.6825025659,0.0144674951,0.0418807505,0.0523817231,0.0532149133,0.0554975279,0.0538895004,3.4537839179,9.6558843819,13.9541840284,17.3018966403,17.2843535204,14.1112995647,0.0569286792,0.4457509952,0.9297583626,1.4289901259,1.4232038576,0.9486610551
Two,0.3661609491,1.0152630475,1.5289023133,1.9980658928,1.991893545,1.5725600562,2.5787101561,7.1596031696,10.8204214635,14.1812128644,14.1819870252,11.2848865355,0.2682001996,0.743676604,1.1141895696,1.4408039006,1.4290203243,1.1273419348,0.0147651164,0.0343763993,0.0498703638,0.0602319567,0.0647922167,0.0479575946,2.4076862973,6.6826413474,10.1023558521,13.2577690316,13.2732443931,10.5675712258,0.1340738406,1.0307590556,2.3375422836,3.9922673121,3.9676398947,2.4729451302
Two,0.399613045,1.109564439,1.6758217927,2.1918339687,2.1827031866,1.7216341464,2.6127557681,7.242448732,10.9702270032,14.377330436,14.3414547111,11.3673511861,0.3084372962,0.8550169545,1.2818965782,1.6671785589,1.6592384098,1.3109942921,0.0224987941,0.0638899757,0.072395347,0.0785692378,0.078821976,0.0527690849,2.4086240203,6.6775928241,10.1029490812,13.2567141911,13.2345228426,10.4881720762,0.1596905857,1.2311332442,2.8083786807,4.8041361466,4.7641932008,2.964024134
Two,0.3423015668,0.9542544619,1.4580004534,1.9154970866,1.9044110778,1.4961891347,2.6691692876,7.4271268581,11.3347928328,14.9002765635,14.8523490907,11.7500683748,0.2404379954,0.6763030927,1.037833633,1.3534294327,1.337650514,1.0500171171,0.0352517621,0.0879569999,0.1211056399,0.1446449875,0.1739531963,0.1556533334,2.7125514363,7.5691223232,11.5595732384,15.1736670125,15.1177317624,11.9508719214,0.1171703627,0.910601578,2.125765322,3.6691290887,3.6267815534,2.2385819269
Three,0.4659726161,1.3056358614,1.6334334554,1.7653606091,1.725938587,1.4062360787,3.1361589503,8.675484564,12.6407532675,15.9204799366,15.8461106154,12.7563510542,0.3605929058,1.0097330411,1.2759436141,1.4147141289,1.3645442631,1.1322648872,0.3506281726,0.9846920132,1.0325193933,0.7446127745,1.0852889503,0.6608136352,3.1543236646,8.7181578162,12.2634767454,15.0711792496,15.1998594234,12.0877127019,0.2171304789,1.7046850026,2.6681048533,3.1164980803,2.9788640062,1.9774999091
Three,0.3995494368,1.0935555441,1.4729605369,1.7028271784,1.6375635147,1.3016682158,3.0097373829,8.2922493695,12.40872635,16.1362429035,16.1169077249,12.8361692964,0.3140519205,0.8597048802,1.1548038588,1.2900603015,1.2088253971,0.9634885449,0.0984212733,0.2395126352,0.160068456,0.6850560251,0.7424046035,0.6107021524,2.80139707,7.717591309,11.5039898022,15.296644071,15.4204568496,12.2703401933,0.1596397524,1.1958637281,2.1696127433,2.8996203995,2.6816142646,1.6943401439
Three,0.3251173525,0.9035417067,1.2965274055,1.6165238297,1.5887183308,1.2468648875,3.1216856135,8.6409775662,12.7897235331,16.2661217986,16.0493867827,12.7151468537,0.2739927286,0.7537871864,1.0355458044,1.2044634215,1.1623334933,0.9301089365,0.0851866413,0.2340583162,0.1771092611,0.2266286094,0.3061983027,0.2409828753,2.9627886295,8.2089216961,12.1560410911,15.557515073,15.4058655168,12.1895279845,0.1057012929,0.8163876157,1.6809833132,2.6131492921,2.5240259347,1.5546720477
